id,name,type,total_value
124,OLD_loan_delivery_2_harvest_drying_sheets,Loan,6850.00
125,Old_cash_delivery_can_dap_boost_0.5_acre,Paid Upfront,2734.00
127,loan_delivery_2_harvest_drying_sheets,Loan,7300.00
128,loan_pickup_harvest_drying_sheet,Loan,3575.00
129,old_loan_pickup_dap_can_boost_1_acre,Loan,5417.00
130,old_loan_pickup_dap_can_boost_0.5_acre,Loan,2843.00
131,old_loan_delivery_dap_can_boost_0.5_acre,Loan,2993.00
132,old_loan_delivery_dap_can_boost_1_acre,Loan,5717.00
133,Old_cash_pickup_dap_can_boost_1_acre,Paid Upfront,4924.00
136,old_cash_delivery_dap_can_boost_1_acre,Paid Upfront,5074.00
138,loan_delivery_maize_5_units_Kenya_Seed,Loan,2295.00
139,loan_pickup_maize_10_units_Kenya_Seed,Loan,4290.00
140,loan_pickup_maize_5_units_Kenya_Seed,Loan,2145.00
142,loan_delivery_maize_5_units_Other,Loan,2750.00
143,OLD_loan_pickup_maize_5_units_Other,Loan,2900.00
144,loan_pickup_maize_10_units_Other,Loan,5500.00
148,cash_pickup_maize_5_units_Kenya_Seed,Paid Upfront,1950.00
152,cash_pickup_maize_5_units_Other,Paid Upfront,2500.00
160,cash_pickup_special_offer_luke_dap_maize,Paid Upfront,21700.00
161,cash_pickup_special_offer_iron_sheets_2.5_m_shinoyi,Paid Upfront,13160.00
162,loan_pickup_dap_boost_2_acre,Loan,6790.00
163,cash_delivery_dap_can_boost_2.5_acre,Paid Upfront,24920.00
164,special_offer_loan_pickup_paygo_biolite_home,Loan,10695.00
165,special_offer_cash_pickup_dap_can_urea,Paid Upfront,7423.00
166,special_offer_cash_pickup_dap_can_shivikwa,Paid Upfront,3548.00
167,special_offer_cash_pickup_dap_maize_bernadette,Paid Upfront,4145.00
168,loan_pickup_iron_sheet_2.5m_8_units,Loan,8272.00
170,cash_pickup_maize_single_3_units_Kenya_Seed,Paid Upfront,1170.00
171,cash_pickup_maize_single_2_units_Kenya_Seed,Paid Upfront,780.00
173,cash_pickup_maize_single_3_units_Other,Paid Upfront,1500.00
174,cash_pickup_maize_single_2_units_Other,Paid Upfront,1000.00
175,cash_pickup_maize_single_1_unit_Other,Paid Upfront,500.00
177,cash_pickup_iron_sheet_2.5m_10_units,Paid Upfront,9400.00
178,special_offer_cash_pickup_dap_maize_shivikwa,Paid Upfront,12109.00
181,cash_special_offer_musungu_maize_bundle_3_acres,Paid Upfront,24871.00
182,cash_pickup_charcoal_cookstove,Paid Upfront,4290.00
183,loan_pickup_charcoal_cookstove,Loan,4719.00
184,cash_pickup_dap_boost_6_acres,Paid Upfront,17550.00
186,cash_pickup_special_offer_obulamu_lime_bundle,Paid Upfront,8934.00
188,cash_pickup_iron_sheet_2.5m_8_units,Paid Upfront,7520.00
190,loan_delivery_iron_sheet_2.5m_8_units,Loan,8422.00
191,cash_pickup_special_offer_dap_4.5_acres,Paid Upfront,13772.00
192,loan_pickup_special_offer_ingotse_dap_can_5_acres,Loan,27082.00
193,cash_pickup_iron_sheet_3m_19_units,Paid Upfront,22800.00
194,cash_pickup_special_offer_dap_1_acre_urea_1_acre,Paid Upfront,5624.00
195,loan_pickup_maize_bundle_3_acre,Loan,24499.00
196,cash_pickup_dap_boost_0.125_acre,Paid Upfront,425.00
198,cash_pickup_dap_boost_0.25_acre,Paid Upfront,825.00
199,loan_pickup_dap_boost_0.25_acre,Loan,908.00
202,loan_pickup_maize_bundle_1/8_acre,Loan,1254.00
204,Cash_special_Offer_DAP_Maize_Luke,Paid Upfront,12795.00
205,loan_pickup_dap_urea_1_acre,Loan,6186.00
206,loan_delivery_dap_urea_1_acre,Loan,6336.00
207,loan_pickup_dap_urea_0.5_acre,Loan,3298.00
210,cash_pickup_dap_1_acre_maize_10_pieces_other,Paid Upfront,7975.00
211,loan_pickup_dap_can_urea_1_acre,Loan,4000.00
213,OLD_loan_pickup_can_boost_0.5_acre,Loan,8828.00
215,loan_pickup_iron_sheet_3m_10_units,Loan,13200.00
217,cash_pickup_dap_can_50kg_3_maize_units,Paid Upfront,6424.00
218,old_cash_pickup_maize_bundle_1.5_acre,Paid Upfront,11508.00
219,cash_pickup_can_dap_boost_shivikwha_offer,Paid Upfront,7899.00
220,loan_pickup_dap_3_acre_urea_1_acre_maize_6_units,Loan,16032.00
221,loan_pickup_can_boost_0.125_acre,Loan,358.00
223,Special_maize_bundle_3acre_urea_2acre_dap_boost_1acre,Paid Upfront,30245.00
224,loan_pickup_dap_can_urea_1_acre,Loan,8330.00
226,old_loan_pickup_can_boost_0.5_acre,Loan,1084.00
227,cash_pickup_can_boost_0.25_acre,Paid Upfront,595.00
229,loan_pickup_can_boost_0.25_acre,Loan,633.00
231,cash_pickup_urea_boost_0.25_acre,Paid Upfront,780.00
232,loan_pickup_urea_boost_0.25_acre,Loan,858.00
233,Old_loan_pickup_urea_boost_0.125_acre,Loan,440.00
234,loan_pickup_dap_1_acre_maize_3_pieces_other,Loan,4579.00
235,cash_pickup_maize_bundle_1_acre_dap_0.5_acre_can_0.5_acre,Paid Upfront,10008.00
236,cash_pickup_dap_boost_0.5_acre_maize_2_units,Paid Upfront,2379.00
237,cash_pickup_dap_0.5_acre_can_0.5_acre_urea_0.5_acre_maize_2_units_kenya_seed,Paid Upfront,4763.00
238,loan_pickup_dap_1.5_acre_maize_2_units_other,Loan,6634.00
239,loan_pickup_maize_bundle_0.25_maize_1_unit_other,Loan,3188.00
240,Old_cash_delivery_can_boost_0.5_acre,Paid Upfront,1250.00
242,loan_pickup_maize_5_units_Other,Loan,2750.00
244,old_cash_delivery_can_dap_boost_0.5_acre,Paid Upfront,2849.00
245,loan_pickup_can_1_acre_dap_0.5_acre,Loan,4053.00
246,old_cash_pickup_urea_2_acres_can_1acre,Paid Upfront,7247.00
247,cash_pickup_urea_2_acres_can_1acre,Paid Upfront,7398.00
248,old_cash_delivery_dap_can_boost_1_acre,Paid Upfront,5225.00
249,old_old_cash_pickup_can_boost_0.5_acre,Paid Upfront,1100.00
251,cash_dap_urea_boost_1_acre,Paid Upfront,5624.00
252,loan_pickup_dap_0.5_acre_can_1_acre_2_maize_kenya_seed,Loan,4927.00
253,loan_pickup_dap_boost_0.5_maize_2_units_other,Loan,4373.00
254,loan_pickup_harvest_drying_sheet_2_units,Loan,7150.00
255,loan_pickup_can_dap_1_acre_maize_kenya_seed_2_units,Loan,6441.00
256,loan_pickup_dap_can_boost_0.25_acre,Loan,1562.00
259,cash_pickup_dap_0.5_acre_maize_1pkt_other,Paid Upfront,2099.00
260,loan_pickup_can_boost_1_acre_maize_5_units_kenya_seed,Loan,4455.00
261,loan_pickup_dap_0.5_acre_maize_1_unit_kenya_seed,Loan,2188.00
262,loan_pickup_dap_0.5_acre_maize_1_unit_other,Loan,2320.00
263,loan_pickup_maize_bundle_1.5_acre,Loan,12951.00
264,loan_delivery_can_boost_1.5acre_knapsack_1_unit,Loan,6364.00
265,loan_pickup_dap_0.5_acre_urea_1_acre,Loan,4673.00
266,loan_pickup_dap_boost_4_acre_can_1_acre,Loan,15400.00
267,cash_pickup_dap_boost_3_acres_maize_10_units_kanya_seed,Paid Upfront,12825.00
269,Loan_delivery_can_boost_0.5_acre,Loan,1635.00
271,Loan_pickup_urea_2_acres,Loan,5828.00
273,Loan_delivery_can_4_acres,Loan,9390.00
274,Loan_pickup_can_4_acres,Loan,9240.00
275,Loan_pickup_maize_bundle_0.5_lime_1acre,Loan,6153.00
276,cash_pickiup_dap_12.5_maize_1_unit_others,Paid Upfront,1325.00
277,loan_pickup_can_urea_boost_0.5_acres,Loan,2749.00
278,cash_pickup_dap_boost_5_acres,Paid Upfront,14875.00
279,cash_pickup_iron_sheets_3m_15_units,Paid Upfront,18000.00
280,old_cash_pickup_can_boost_2_acres,Paid Upfront,4200.00
281,loan_pickup_maize_bundle_2_acres,Loan,16332.00
283,loan_delivery_iron_sheet_10_units,Loan,13350.00
284,loan_pickup_iron_sheets_2.5_M_10_units,Loan,10340.00
289,Old_cash_delivery_maize_bundle_0.5_acre,Paid Upfront,4434.00
290,OLD_cash_delivery_maize_bundle_0.5_acre,Paid Upfront,4434.00
291,Old _Old_cash_delivery_maize_bundle_1_acre,Paid Upfront,7874.00
292,OLD_cash_delivery_maize_bundle_1_acre,Paid Upfront,7874.00
293,OLD(2)_cash_pickup_can_boost_0.5_acre,Paid Upfront,1300.00
294,cash_pickup_can_boost_1_acre,Paid Upfront,2400.00
295,cash_pickup_can_boost_2_acres,Paid Upfront,4800.00
296,cash_pickup_dap_can_boost_1_acre,Paid Upfront,5375.00
297,OLD_cash_pickup_maize_bundle_0.5_acre,Paid Upfront,4284.00
298,OLD_cash_pickup_maize_bundle_1_acre,Paid Upfront,7624.00
301,loan_delivery_dap_can_boost_0.5_acre,Loan,3339.00
303,cash_pickup_dap_6.25_harvest_drying_sheet_1_unit,Paid Upfront,3675.00
304,OLD_loan_delivery_maize_bundle_0.5_acre,Loan,4862.00
305,OLD_loan_delivery_maize_bundle_1_acre,Loan,8646.00
307,OLD(2)_loan_pickup_can_boost_0.5_acre,Loan,1430.00
308,loan_pickup_dap_can_boost_0.5_acre,Loan,3189.00
309,loan_pickup_dap_can_boost_1_acre,Loan,5913.00
311,OLD_loan_pickup_maize_bundle_1_acre,Loan,8496.00
313,cash_pickup_dap_1.5_acres_maize_7_pkts_other,Paid Upfront,8074.00
314,cash_pickup_dap_can_urea_3_acres_maize_5_units_other,Paid Upfront,25602.00
315,cash_pickup_can_urea_1_acre,Paid Upfront,5049.00
316,loan_pickup_dap_2_acres_can_3acres,Loan,14465.00
317,loan_pickup_dap_3_acres_pics_10_units_maize_10_units_others,Loan,20378.00
318,loan_pickup_dap_3_acres_maize_10_units_other,Loan,15428.00
319,loan_pickup_can_boost_1_acre,Loan,2640.00
320,OLD_loan_pickup_maize_bundle_0.5acres,Loan,4712.00
321,cash_pickup_dap_7_acres_can_5_acres,Paid Upfront,30570.00
322,loan_pickup_urea_boost_7_acres,Loan,20397.00
323,loan_pickup_can_2_acres,Loan,5280.00
324,loan_pickup_can_boost_1_acre_Ainea,Loan,2145.00
325,loan_pickup_dap_can_4_acres,Loan,23650.00
326,loan_pickup_iron_sheets_3m_10_units,Loan,13200.00
327,loan_pickup_ironsheet_2.5m_12_units_iron_sheets_3m_18_units,Loan,35732.00
328,loan_pickup_can_urea_1.5_acres,Loan,8523.00
329,loan-pickup_can_urea_0.5_acres,Loan,2969.00
330,loan_pickup_can_3_acres,Loan,7920.00
332,loan_pickup_dap_2_acre_urea_2_acres,Loan,12373.00
334,loan_pickup_can_urea_1_acre,Loan,5554.00
336,loan_pickup_dap_3_acres_maize_5_units,Loan,12623.00
337,loan_pickup_can_1_acre_urea_3_acres,Loan,11382.00
338,loan_pickup_can_2_acres_urea_1_acre,Loan,8194.00
339,loan_pickup_dap_2_acres_can_1_acre_urea_4_acres,Loan,20841.00
340,loan_pickup_dap_2_acres_urea_4_acres,Loan,18201.00
342,loan_pickup_dap_2_acres_can_2_acres,Loan,11825.00
347,loan_pickup_dap_2_acres_can_4_acres_urea_7_acres,Loan,32102.00
348,cash_pickup_dap_1_acre_urea_1.25_acres,Paid Upfront,6404.00
351,loan_pickup_can_urea_0.5_acres,Loan,3024.00
352,cash_pickup_can_0.5_acre_wheelbarrow_1_piece,Paid Upfront,4599.00
353,loan_pickup_dap_boost_0.5_can_1_acre,Loan,4399.00
354,cash_pickup_ironsheets_3metres_34units,Paid Upfront,40800.00
355,cash_pickup_can_0.75_acres,Paid Upfront,2000.00
356,cash_delivery_maize_bundle_0.5_acre,Paid Upfront,4484.00
